Invoice_ID,Date,Vendor,Customer,Description,Quantity,Unit_Price,Line_Total,Invoice_Subtotal,Invoice_Tax,Invoice_Total
INV-192477,2025-09-17,"Pratt, Jackson and Wilson",Bruce-Smith,Server Hosting - Devolved hybrid pricing structure,2,4576.99,9153.98,47787.5,9557.5,57345.0
INV-192477,2025-09-17,"Pratt, Jackson and Wilson",Bruce-Smith,Legal  - Versatile stable adapter,9,1597.75,14379.75,47787.5,9557.5,57345.0
INV-192477,2025-09-17,"Pratt, Jackson and Wilson",Bruce-Smith,Building  - Digitized even-keeled artificial intelligence,6,1848.14,11088.84,47787.5,9557.5,57345.0
INV-585052,2025-04-18,"Murphy, Richards and Warner",Hunter-Vincent,Printing  - Profit-focused local parallelism,1,1924.27,1924.27,1924.27,384.85,2309.12
INV-333195,2025-07-22,Anderson-Freeman,Patel and Sons,Telecommunications  - User-centric reciprocal architecture,6,515.3,3091.8,29285.170000000002,5857.03,35142.2
INV-333195,2025-07-22,Anderson-Freeman,Patel and Sons,Consulting - Expanded multi-state success,8,679.49,5435.92,29285.170000000002,5857.03,35142.2
INV-333195,2025-07-22,Anderson-Freeman,Patel and Sons,IT Services - Multi-lateral user-facing Graphic Interface,3,100.09,300.27,29285.170000000002,5857.03,35142.2
INV-333195,2025-07-22,Anderson-Freeman,Patel and Sons,Legal  - Inverse client-server conglomeration,9,1508.76,13578.84,29285.170000000002,5857.03,35142.2
INV-333195,2025-07-22,Anderson-Freeman,Patel and Sons,Printing  - Expanded real-time budgetary management,7,982.62,6878.34,29285.170000000002,5857.03,35142.2
INV-766931,2025-03-20,Holloway PLC,Clark-Gray,Insurance  - Fundamental systematic migration,8,754.96,6039.68,34933.369999999995,6986.67,41920.04
INV-766931,2025-03-20,Holloway PLC,Clark-Gray,Software License - Customer-focused composite forecast,4,163.08,652.32,34933.369999999995,6986.67,41920.04
INV-766931,2025-03-20,Holloway PLC,Clark-Gray,Server Hosting - Devolved grid-enabled instruction set,9,1905.68,17151.12,34933.369999999995,6986.67,41920.04
INV-766931,2025-03-20,Holloway PLC,Clark-Gray,Building  - Object-based uniform productivity,9,1232.25,11090.25,34933.369999999995,6986.67,41920.04
INV-474966,2025-08-16,"Taylor, Richardson and Bell","Murphy, Miller and Burke",Consulting - Devolved global infrastructure,2,578.36,1156.72,1992.76,398.55,2391.31
INV-474966,2025-08-16,"Taylor, Richardson and Bell","Murphy, Miller and Burke",Marketing Agency - Persevering bifurcated support,3,278.68,836.04,1992.76,398.55,2391.31
INV-924996,2025-07-12,"Pratt, Jackson and Wilson","Ali, Leach and Page",Hardware - Upgradable zero tolerance implementation,10,1587.97,15879.7,24259.82,4851.96,29111.78
INV-924996,2025-07-12,"Pratt, Jackson and Wilson","Ali, Leach and Page",Server Hosting - Operative explicit functionalities,1,4701.16,4701.16,24259.82,4851.96,29111.78
INV-924996,2025-07-12,"Pratt, Jackson and Wilson","Ali, Leach and Page",Printing  - Implemented human-resource functionalities,4,919.74,3678.96,24259.82,4851.96,29111.78
INV-259573,2025-01-03,Stephens-Jones,Bailey-George,Office Supplies - Down-sized leadingedge productivity,8,150.35,1202.8,260591.38,52118.28,312709.66
INV-259573,2025-01-03,Stephens-Jones,Bailey-George,Staff Compensation - Multi-lateral bandwidth-monitored installation,10,1640.68,16406.8,260591.38,52118.28,312709.66
INV-259573,2025-01-03,Stephens-Jones,Bailey-George,Audit Services - Multi-layered national standardization,5,1714.6,8573.0,260591.38,52118.28,312709.66
INV-259573,2025-01-03,Stephens-Jones,Bailey-George,Legal Retainer - User-friendly multimedia definition,1,1380.06,1380.06,260591.38,52118.28,312709.66
INV-259573,2025-01-03,Stephens-Jones,Bailey-George,Recruitment Agency - Temporary - Devolved upward-trending adapter,9,25892.08,233028.72,260591.38,52118.28,312709.66
INV-593254,2025-07-08,Holloway PLC,Kent Group,Postage  - Stand-alone eco-centric secured line,6,1588.22,9529.32,32269.529999999995,6453.91,38723.44
INV-593254,2025-07-08,Holloway PLC,Kent Group,Hardware - Monitored modular encryption,9,1873.91,16865.19,32269.529999999995,6453.91,38723.44
INV-593254,2025-07-08,Holloway PLC,Kent Group,Printing  - Managed methodical contingency,6,768.68,4612.08,32269.529999999995,6453.91,38723.44
INV-593254,2025-07-08,Holloway PLC,Kent Group,Marketing Agency - Switchable value-added alliance,2,284.47,568.94,32269.529999999995,6453.91,38723.44
INV-593254,2025-07-08,Holloway PLC,Kent Group,Office Supplies - Future-proofed intangible circuit,8,86.75,694.0,32269.529999999995,6453.91,38723.44
INV-836301,2025-01-23,"Thompson, Hancock and Burns",Sharp-Smith,Staff Compensation - Focused logistical matrices,7,801.11,5607.77,33773.16,6754.63,40527.79
INV-836301,2025-01-23,"Thompson, Hancock and Burns",Sharp-Smith,Telecommunications  - Synergized local alliance,5,1557.65,7788.25,33773.16,6754.63,40527.79
INV-836301,2025-01-23,"Thompson, Hancock and Burns",Sharp-Smith,Audit Services - Decentralized regional model,10,1574.85,15748.5,33773.16,6754.63,40527.79
INV-836301,2025-01-23,"Thompson, Hancock and Burns",Sharp-Smith,Hardware - Re-engineered foreground protocol,3,1542.88,4628.64,33773.16,6754.63,40527.79
INV-228313,2025-03-04,Anderson-Freeman,Ali-Brown,Recruitment Agency - Temporary - Grass-roots radical synergy,9,21823.29,196409.61,205685.39,41137.08,246822.47
INV-228313,2025-03-04,Anderson-Freeman,Ali-Brown,Office Supplies - Synergistic dynamic extranet,5,89.24,446.2,205685.39,41137.08,246822.47
INV-228313,2025-03-04,Anderson-Freeman,Ali-Brown,Office Supplies - Inverse regional moderator,2,75.35,150.7,205685.39,41137.08,246822.47
INV-228313,2025-03-04,Anderson-Freeman,Ali-Brown,Server Hosting - Automated bifurcated budgetary management,4,2169.72,8678.88,205685.39,41137.08,246822.47
INV-609177,2025-11-04,"Sharpe, Wood and Hall","Edwards, Quinn and Fletcher",Office Supplies - Integrated fault-tolerant flexibility,1,56.54,56.54,25396.980000000003,5079.4,30476.38
INV-609177,2025-11-04,"Sharpe, Wood and Hall","Edwards, Quinn and Fletcher",Office  - Balanced bi-directional capability,3,1353.4,4060.2,25396.980000000003,5079.4,30476.38
INV-609177,2025-11-04,"Sharpe, Wood and Hall","Edwards, Quinn and Fletcher",Legal  - Face-to-face attitude-oriented architecture,3,1795.48,5386.44,25396.980000000003,5079.4,30476.38
INV-609177,2025-11-04,"Sharpe, Wood and Hall","Edwards, Quinn and Fletcher",Staff Compensation - User-centric radical software,4,1139.15,4556.6,25396.980000000003,5079.4,30476.38
INV-609177,2025-11-04,"Sharpe, Wood and Hall","Edwards, Quinn and Fletcher",Building  - Open-source empowering Local Area Network,7,1619.6,11337.2,25396.980000000003,5079.4,30476.38
INV-328669,2025-10-01,"Taylor, Richardson and Bell",Duncan-Turner,Legal  - Integrated systematic support,9,831.44,7482.96,26244.6,5248.92,31493.52
INV-328669,2025-10-01,"Taylor, Richardson and Bell",Duncan-Turner,IT Services - Multi-channeled zero-defect adapter,7,126.82,887.74,26244.6,5248.92,31493.52
INV-328669,2025-10-01,"Taylor, Richardson and Bell",Duncan-Turner,Legal  - Synergized stable pricing structure,8,1614.79,12918.32,26244.6,5248.92,31493.52
INV-328669,2025-10-01,"Taylor, Richardson and Bell",Duncan-Turner,Printing  - De-engineered directional attitude,7,707.94,4955.58,26244.6,5248.92,31493.52
INV-389478,2025-07-04,"Murphy, Richards and Warner",Randall-White,Staff Compensation - Mandatory client-server database,1,1819.93,1819.93,1819.93,363.99,2183.92
INV-708336,2025-06-25,"Pratt, Jackson and Wilson",Mitchell-Green,Server Hosting - Adaptive client-driven support,7,324.55,2271.85,19012.640000000003,3802.53,22815.17
INV-708336,2025-06-25,"Pratt, Jackson and Wilson",Mitchell-Green,Travel - Expanded fresh-thinking function,10,1353.24,13532.4,19012.640000000003,3802.53,22815.17
INV-708336,2025-06-25,"Pratt, Jackson and Wilson",Mitchell-Green,Software License - Programmable mobile adapter,9,196.87,1771.83,19012.640000000003,3802.53,22815.17
INV-708336,2025-06-25,"Pratt, Jackson and Wilson",Mitchell-Green,Office Supplies - Enhanced stable contingency,8,179.57,1436.56,19012.640000000003,3802.53,22815.17
INV-397048,2025-06-16,"Pratt, Jackson and Wilson",James-Stevens,Telecommunications  - Exclusive didactic solution,9,729.97,6569.73,6569.73,1313.95,7883.68
INV-441379,2025-07-11,Holloway PLC,Atkins-Lee,Consulting - Robust secondary structure,4,821.59,3286.36,181992.52000000002,36398.5,218391.02
INV-441379,2025-07-11,Holloway PLC,Atkins-Lee,Printing  - Customizable directional application,10,1906.14,19061.4,181992.52000000002,36398.5,218391.02
INV-441379,2025-07-11,Holloway PLC,Atkins-Lee,Recruitment Agency - Permanent - Cross-group homogeneous info-mediaries,6,26607.46,159644.76,181992.52000000002,36398.5,218391.02
INV-917589,2025-01-04,"Taylor, Richardson and Bell",Little-Smith,Marketing Agency - Fully-configurable neutral conglomeration,2,1807.78,3615.56,53573.07000000001,10714.61,64287.68
INV-917589,2025-01-04,"Taylor, Richardson and Bell",Little-Smith,Telecommunications  - Cloned systemic benchmark,10,1719.52,17195.2,53573.07000000001,10714.61,64287.68
INV-917589,2025-01-04,"Taylor, Richardson and Bell",Little-Smith,Accounting - Quality-focused secondary software,7,4680.33,32762.31,53573.07000000001,10714.61,64287.68
INV-748041,2024-12-30,Holloway PLC,Jones-Ellis,Marketing Agency - Multi-channeled zero administration artificial intelligence,3,3685.37,11056.11,26646.35,5329.27,31975.62
INV-748041,2024-12-30,Holloway PLC,Jones-Ellis,Printing  - Progressive attitude-oriented contingency,6,1810.44,10862.64,26646.35,5329.27,31975.62
INV-748041,2024-12-30,Holloway PLC,Jones-Ellis,Consulting - Customizable system-worthy alliance,4,1181.9,4727.6,26646.35,5329.27,31975.62
INV-764530,2025-05-06,Anderson-Freeman,"Roberts, Sharpe and Cooke",Software License - Phased mobile solution,10,149.44,1494.4,1494.4,298.88,1793.28
INV-950857,2025-05-05,"Taylor, Richardson and Bell",Howard-Baker,Legal  - Sharable web-enabled approach,1,714.92,714.92,714.92,142.98,857.9
INV-62087,2025-07-15,Holloway PLC,Carter and Sons,Insurance  - Innovative neutral system engine,9,1476.12,13285.08,313725.38,62745.08,376470.46
INV-62087,2025-07-15,Holloway PLC,Carter and Sons,Recruitment Agency - Temporary - Cross-group solution-oriented toolset,8,34554.96,276439.68,313725.38,62745.08,376470.46
INV-62087,2025-07-15,Holloway PLC,Carter and Sons,Printing  - Face-to-face value-added infrastructure,5,1970.89,9854.45,313725.38,62745.08,376470.46
INV-62087,2025-07-15,Holloway PLC,Carter and Sons,Marketing Agency - Synergized global monitoring,5,742.62,3713.1,313725.38,62745.08,376470.46
INV-62087,2025-07-15,Holloway PLC,Carter and Sons,Office  - Intuitive leadingedge orchestration,9,1159.23,10433.07,313725.38,62745.08,376470.46
INV-86096,2025-05-10,Smith-Rogers,Wilkins LLC,Building  - Pre-emptive bifurcated utilization,6,991.1,5946.6,5946.6,1189.32,7135.92
INV-916663,2025-08-01,"Nash, Waters and Baxter",Moore-Ford,Marketing Agency - Exclusive exuding help-desk,9,4056.42,36507.78,41788.78,8357.76,50146.54
INV-916663,2025-08-01,"Nash, Waters and Baxter",Moore-Ford,Consulting - Mandatory intermediate initiative,4,1320.25,5281.0,41788.78,8357.76,50146.54
INV-769360,2025-05-18,"Taylor, Richardson and Bell",Cooper-Harvey,Legal Retainer - Cross-group directional solution,6,558.9,3353.4,7502.200000000001,1500.44,9002.64
INV-769360,2025-05-18,"Taylor, Richardson and Bell",Cooper-Harvey,Travel - Visionary actuating portal,4,1037.2,4148.8,7502.200000000001,1500.44,9002.64
INV-855784,2025-05-10,Stephens-Jones,Johnson-Quinn,Postage  - Decentralized full-range success,6,1916.04,11496.24,46182.76,9236.55,55419.31
INV-855784,2025-05-10,Stephens-Jones,Johnson-Quinn,Hardware - Total coherent matrix,10,1522.32,15223.2,46182.76,9236.55,55419.31
INV-855784,2025-05-10,Stephens-Jones,Johnson-Quinn,Insurance  - Fundamental composite policy,1,597.2,597.2,46182.76,9236.55,55419.31
INV-855784,2025-05-10,Stephens-Jones,Johnson-Quinn,Server Hosting - Reduced homogeneous process improvement,2,4812.01,9624.02,46182.76,9236.55,55419.31
INV-855784,2025-05-10,Stephens-Jones,Johnson-Quinn,Legal Retainer - Distributed composite functionalities,9,1026.9,9242.1,46182.76,9236.55,55419.31
INV-227668,2025-08-22,"Sharpe, Wood and Hall",Stewart-Jones,IT Services - Enhanced hybrid toolset,6,119.67,718.02,204988.71,40997.74,245986.45
INV-227668,2025-08-22,"Sharpe, Wood and Hall",Stewart-Jones,Recruitment Agency - Permanent - Visionary foreground artificial intelligence,5,39685.56,198427.8,204988.71,40997.74,245986.45
INV-227668,2025-08-22,"Sharpe, Wood and Hall",Stewart-Jones,Telecommunications  - Advanced value-added protocol,9,649.21,5842.89,204988.71,40997.74,245986.45
INV-782619,2025-08-04,"Nash, Waters and Baxter",Barker LLC,Catering  - Customizable global artificial intelligence,4,1014.93,4059.72,54882.119999999995,10976.42,65858.54
INV-782619,2025-08-04,"Nash, Waters and Baxter",Barker LLC,Audit Services - Diverse client-server focus group,10,4979.27,49792.7,54882.119999999995,10976.42,65858.54
INV-782619,2025-08-04,"Nash, Waters and Baxter",Barker LLC,Marketing Agency - Visionary grid-enabled flexibility,1,1029.7,1029.7,54882.119999999995,10976.42,65858.54
INV-948739,2025-03-11,"Murphy, Richards and Warner",Richards-Roberts,Marketing Agency - Universal needs-based Local Area Network,3,4760.33,14280.99,33547.740000000005,6709.55,40257.29
INV-948739,2025-03-11,"Murphy, Richards and Warner",Richards-Roberts,Printing  - Cross-group optimizing approach,9,903.53,8131.77,33547.740000000005,6709.55,40257.29
INV-948739,2025-03-11,"Murphy, Richards and Warner",Richards-Roberts,Legal  - Multi-tiered motivating core,6,547.09,3282.54,33547.740000000005,6709.55,40257.29
INV-948739,2025-03-11,"Murphy, Richards and Warner",Richards-Roberts,Office  - Enhanced secondary policy,4,1963.11,7852.44,33547.740000000005,6709.55,40257.29
INV-867591,2025-03-26,"Taylor, Richardson and Bell","Duffy, Bell and Foster",IT Services - Cross-platform incremental analyzer,7,138.91,972.37,972.37,194.47,1166.84
INV-552948,2025-03-23,Stephens-Jones,Johnson and Sons,Hardware - Fully-configurable intermediate monitoring,9,1709.65,15386.85,45292.22,9058.44,54350.66
INV-552948,2025-03-23,Stephens-Jones,Johnson and Sons,Audit Services - Visionary neutral data-warehouse,9,2821.28,25391.52,45292.22,9058.44,54350.66
INV-552948,2025-03-23,Stephens-Jones,Johnson and Sons,Insurance  - Re-engineered executive access,2,660.1,1320.2,45292.22,9058.44,54350.66
INV-552948,2025-03-23,Stephens-Jones,Johnson and Sons,IT Services - Secured systematic installation,1,163.93,163.93,45292.22,9058.44,54350.66
INV-552948,2025-03-23,Stephens-Jones,Johnson and Sons,Telecommunications  - Virtual background Internet solution,2,1514.86,3029.72,45292.22,9058.44,54350.66
INV-172961,2025-04-27,Holloway PLC,Morgan-Evans,Accounting - Business-focused full-range budgetary management,1,1129.22,1129.22,1129.22,225.84,1355.06
INV-279478,2025-05-19,"Taylor, Richardson and Bell","Scott, Lewis and Rogers",Hardware - Right-sized disintermediate support,3,647.69,1943.07,1943.07,388.61,2331.68
INV-540463,2025-05-13,"Sharpe, Wood and Hall",Phillips Ltd,Travel - Quality-focused optimal framework,8,688.46,5507.68,5507.68,1101.54,6609.22
INV-797829,2025-05-08,Stephens-Jones,Rogers Inc,Catering  - Diverse object-oriented hierarchy,5,1036.18,5180.9,5180.9,1036.18,6217.08
INV-75860,2025-07-05,"Pratt, Jackson and Wilson",Patel-Knowles,Travel - Visionary optimizing policy,7,878.09,6146.63,6146.63,1229.33,7375.96
INV-507011,2025-06-29,"Nash, Waters and Baxter",Thomas-Lawrence,Marketing Agency - Customer-focused heuristic challenge,5,3796.82,18984.1,63759.99,12752.0,76511.99
INV-507011,2025-06-29,"Nash, Waters and Baxter",Thomas-Lawrence,Recruitment Agency - Temporary - Managed fresh-thinking definition,6,4868.67,29212.02,63759.99,12752.0,76511.99
INV-507011,2025-06-29,"Nash, Waters and Baxter",Thomas-Lawrence,Legal  - Innovative tertiary hub,6,679.01,4074.06,63759.99,12752.0,76511.99
INV-507011,2025-06-29,"Nash, Waters and Baxter",Thomas-Lawrence,Building  - Expanded 6thgeneration complexity,8,718.14,5745.12,63759.99,12752.0,76511.99
INV-507011,2025-06-29,"Nash, Waters and Baxter",Thomas-Lawrence,Consulting - Reactive attitude-oriented concept,7,820.67,5744.69,63759.99,12752.0,76511.99
INV-564295,2025-08-21,"Pratt, Jackson and Wilson","Winter, Rogers and Nelson",IT Services - Optimized clear-thinking portal,6,109.98,659.88,5750.9800000000005,1150.2,6901.18
INV-564295,2025-08-21,"Pratt, Jackson and Wilson","Winter, Rogers and Nelson",Postage  - Face-to-face 6thgeneration core,5,1018.22,5091.1,5750.9800000000005,1150.2,6901.18
INV-259532,2025-09-25,Smith-Rogers,Dobson Group,Legal Retainer - Adaptive contextually-based task-force,4,1348.97,5395.88,24500.51,4900.1,29400.61
INV-259532,2025-09-25,Smith-Rogers,Dobson Group,Travel - Robust zero-defect groupware,6,1578.75,9472.5,24500.51,4900.1,29400.61
INV-259532,2025-09-25,Smith-Rogers,Dobson Group,Office  - Configurable client-server capacity,5,638.31,3191.55,24500.51,4900.1,29400.61
INV-259532,2025-09-25,Smith-Rogers,Dobson Group,Server Hosting - Synergistic contextually-based matrices,3,1224.89,3674.67,24500.51,4900.1,29400.61
INV-259532,2025-09-25,Smith-Rogers,Dobson Group,Consulting - Decentralized neutral application,3,921.97,2765.91,24500.51,4900.1,29400.61
INV-271658,2025-01-03,Anderson-Freeman,Nicholls-Wilson,Recruitment Agency - Temporary - Public-key clear-thinking capacity,3,22640.28,67920.84,73273.04,14654.61,87927.65
INV-271658,2025-01-03,Anderson-Freeman,Nicholls-Wilson,Building  - Business-focused actuating website,7,764.6,5352.2,73273.04,14654.61,87927.65
INV-903950,2025-11-16,Holloway PLC,Horton-Clarke,Postage  - Multi-channeled zero-defect implementation,7,1498.23,10487.61,36474.84,7294.97,43769.81
INV-903950,2025-11-16,Holloway PLC,Horton-Clarke,Hardware - Fundamental motivating artificial intelligence,10,1229.87,12298.7,36474.84,7294.97,43769.81
INV-903950,2025-11-16,Holloway PLC,Horton-Clarke,Postage  - De-engineered tertiary product,1,1273.35,1273.35,36474.84,7294.97,43769.81
INV-903950,2025-11-16,Holloway PLC,Horton-Clarke,Building  - Persevering content-based throughput,3,1365.66,4096.98,36474.84,7294.97,43769.81
INV-903950,2025-11-16,Holloway PLC,Horton-Clarke,Insurance  - Visionary contextually-based benchmark,10,831.82,8318.2,36474.84,7294.97,43769.81
INV-47940,2025-02-12,Holloway PLC,"King, Clarke and Newton",Recruitment Agency - Permanent - Phased explicit projection,7,32042.3,224296.1,435444.07999999996,87088.82,522532.9
INV-47940,2025-02-12,Holloway PLC,"King, Clarke and Newton",Recruitment Agency - Temporary - Versatile impactful workforce,9,9319.87,83878.83,435444.07999999996,87088.82,522532.9
INV-47940,2025-02-12,Holloway PLC,"King, Clarke and Newton",Recruitment Agency - Temporary - Proactive actuating hardware,5,25453.83,127269.15,435444.07999999996,87088.82,522532.9
INV-64442,2024-12-29,"Murphy, Richards and Warner",Murphy LLC,Hardware - De-engineered secondary moderator,9,575.5,5179.5,39358.78,7871.76,47230.54
INV-64442,2024-12-29,"Murphy, Richards and Warner",Murphy LLC,Legal Retainer - Programmable responsive time-frame,8,946.92,7575.36,39358.78,7871.76,47230.54
INV-64442,2024-12-29,"Murphy, Richards and Warner",Murphy LLC,Travel - Programmable analyzing contingency,8,783.16,6265.28,39358.78,7871.76,47230.54
INV-64442,2024-12-29,"Murphy, Richards and Warner",Murphy LLC,Recruitment Agency - Temporary - Devolved radical intranet,8,2542.33,20338.64,39358.78,7871.76,47230.54
INV-616428,2025-03-15,Anderson-Freeman,Hewitt and Sons,Marketing Agency - Future-proofed tangible leverage,6,2691.3,16147.8,16147.8,3229.56,19377.36
INV-774702,2025-11-07,Stephens-Jones,"Bond, Williams and Lowe",Travel - Implemented encompassing forecast,3,1173.52,3520.56,3520.56,704.11,4224.67
INV-763312,2025-02-23,"Nash, Waters and Baxter",Cooper Ltd,Office  - Programmable leadingedge model,10,760.11,7601.1,7601.1,1520.22,9121.32
INV-817449,2025-02-02,Smith-Rogers,Coates-Skinner,Software License - Reactive asynchronous circuit,5,246.87,1234.35,220795.99,44159.2,264955.19
INV-817449,2025-02-02,Smith-Rogers,Coates-Skinner,Marketing Agency - Optimized multi-state Internet solution,7,3575.08,25025.56,220795.99,44159.2,264955.19
INV-817449,2025-02-02,Smith-Rogers,Coates-Skinner,Recruitment Agency - Temporary - Pre-emptive incremental collaboration,9,21615.12,194536.08,220795.99,44159.2,264955.19
INV-578683,2025-06-14,"Pratt, Jackson and Wilson",Farrell Ltd,Printing  - Multi-tiered national alliance,2,758.48,1516.96,93600.42,18720.08,112320.5
INV-578683,2025-06-14,"Pratt, Jackson and Wilson",Farrell Ltd,Software License - Streamlined systemic intranet,6,209.77,1258.62,93600.42,18720.08,112320.5
INV-578683,2025-06-14,"Pratt, Jackson and Wilson",Farrell Ltd,Hardware - Synergistic multi-state Graphical User Interface,6,1808.93,10853.58,93600.42,18720.08,112320.5
INV-578683,2025-06-14,"Pratt, Jackson and Wilson",Farrell Ltd,Building  - Devolved motivating pricing structure,8,1997.42,15979.36,93600.42,18720.08,112320.5
INV-578683,2025-06-14,"Pratt, Jackson and Wilson",Farrell Ltd,Recruitment Agency - Permanent - Virtual dynamic migration,10,6399.19,63991.9,93600.42,18720.08,112320.5
INV-485767,2024-12-14,Holloway PLC,Gray-Walker,Accounting - Front-line full-range leverage,2,3548.81,7097.62,50070.42,10014.08,60084.5
INV-485767,2024-12-14,Holloway PLC,Gray-Walker,Accounting - Adaptive value-added framework,8,2944.23,23553.84,50070.42,10014.08,60084.5
INV-485767,2024-12-14,Holloway PLC,Gray-Walker,Postage  - Organized client-server functionalities,5,1610.68,8053.4,50070.42,10014.08,60084.5
INV-485767,2024-12-14,Holloway PLC,Gray-Walker,Staff Compensation - Universal multi-state portal,2,1807.54,3615.08,50070.42,10014.08,60084.5
INV-485767,2024-12-14,Holloway PLC,Gray-Walker,Catering  - User-centric multi-tasking product,4,1937.62,7750.48,50070.42,10014.08,60084.5
INV-734012,2025-03-28,"Sharpe, Wood and Hall","Stephenson, Brown and Walton",Consulting - Automated client-driven capacity,5,1646.39,8231.95,36508.39,7301.68,43810.07
INV-734012,2025-03-28,"Sharpe, Wood and Hall","Stephenson, Brown and Walton",Server Hosting - Visionary bifurcated hardware,6,4712.74,28276.44,36508.39,7301.68,43810.07
INV-290732,2025-10-25,"Murphy, Richards and Warner","Fraser, Hussain and Berry",Office Supplies - Function-based systemic standardization,8,65.81,526.48,526.48,105.3,631.78
INV-252756,2025-08-02,Anderson-Freeman,Bennett-Chambers,Marketing Agency - Operative clear-thinking productivity,2,4313.74,8627.48,8627.48,1725.5,10352.98
INV-931244,2025-02-03,"Pratt, Jackson and Wilson",Stephens and Sons,Marketing Agency - Networked modular strategy,6,4113.56,24681.36,32555.24,6511.05,39066.29
INV-931244,2025-02-03,"Pratt, Jackson and Wilson",Stephens and Sons,Catering  - Re-contextualized bandwidth-monitored service-desk,4,1968.47,7873.88,32555.24,6511.05,39066.29
INV-211759,2025-05-07,"Sharpe, Wood and Hall",Woods Group,Marketing Agency - Profound bi-directional circuit,5,4360.88,21804.4,46805.36,9361.07,56166.43
INV-211759,2025-05-07,"Sharpe, Wood and Hall",Woods Group,Legal Retainer - Expanded context-sensitive monitoring,1,584.89,584.89,46805.36,9361.07,56166.43
INV-211759,2025-05-07,"Sharpe, Wood and Hall",Woods Group,Recruitment Agency - Temporary - Centralized interactive project,1,24416.07,24416.07,46805.36,9361.07,56166.43
INV-706372,2025-09-28,Holloway PLC,Morgan-Francis,Postage  - Advanced value-added emulation,4,554.91,2219.64,65536.64,13107.33,78643.97
INV-706372,2025-09-28,Holloway PLC,Morgan-Francis,Recruitment Agency - Permanent - Pre-emptive tertiary support,2,31082.47,62164.94,65536.64,13107.33,78643.97
INV-706372,2025-09-28,Holloway PLC,Morgan-Francis,IT Services - Ergonomic executive analyzer,6,192.01,1152.06,65536.64,13107.33,78643.97
INV-599207,2025-08-05,Stephens-Jones,"Kaur, Scott and Green",Consulting - Proactive actuating productivity,5,542.54,2712.7,28073.14,5614.63,33687.77
INV-599207,2025-08-05,Stephens-Jones,"Kaur, Scott and Green",Insurance  - Extended contextually-based Graphical User Interface,2,1726.82,3453.64,28073.14,5614.63,33687.77
INV-599207,2025-08-05,Stephens-Jones,"Kaur, Scott and Green",IT Services - Enterprise-wide zero administration parallelism,4,116.56,466.24,28073.14,5614.63,33687.77
INV-599207,2025-08-05,Stephens-Jones,"Kaur, Scott and Green",Office  - Ergonomic zero tolerance success,2,747.38,1494.76,28073.14,5614.63,33687.77
INV-599207,2025-08-05,Stephens-Jones,"Kaur, Scott and Green",Marketing Agency - Configurable 24hour infrastructure,5,3989.16,19945.8,28073.14,5614.63,33687.77
INV-456481,2025-06-22,Anderson-Freeman,Burgess-Allan,Telecommunications  - Universal local flexibility,2,1667.89,3335.78,83046.51999999999,16609.3,99655.82
